file,sound,param,value,attack_ms,band_air_share,band_high_share,band_low_share,band_lowmid_share,band_mid_share,band_sub_share,centroid_slope_hz_per_ms,crest_factor_db,decay_ms,duration_s,f0_hz,f0_hz_at_100ms,f0_hz_at_30ms,f0_hz_at_5ms,f0_voiced_confidence,harmonic_percussive_ratio,loudness_a_db,peak_db,rise_10_90_ms,rms_db,spectral_bandwidth,spectral_centroid_hz,spectral_centroid_hz_100ms,spectral_flatness,spectral_flux_mean,spectral_rolloff_85,t60_estimate_ms,zero_crossing_rate,decay20_ms,decay40_ms,sustain_share
library/real/wav/kick__real__0069.wav,kick,real,0069,4.240362811791384,0.001249077138791828,0.012171819853846176,0.6203533460499554,0.010447384175680417,0.00407018784083138,0.35170818494089495,-17.95405742901675,9.775629665111047,0.4988662131519275,0.028616780045351474,37.207793350263834,43.96651671865885,nan,nan,0.010039862437622718,4.550645216084821,-26.79652690359942,-1.000151903819357,3.9002267573696145,-10.775781568930405,2367.6209341231306,1055.7505915803797,1229.7195290276504,0.00029068890400003997,0.10670203601283493,1462.1044921875,274.80076205630104,0.00322265625,34,104,0.05315
library/real/wav/kick__real__0070.wav,kick,real,0070,3.5147392290249435,0.0016439345888465545,0.013202510960345321,0.7817135568048488,0.12307345971179778,0.015798436516107885,0.06456810141805376,-2.859014834821262,10.32171733743979,3.2426303854875282,0.039523809523809524,75.23506600215096,76.55015179119384,nan,nan,0.03139639086469199,0.1863771530394133,-24.196931857764177,-1.000151903819357,1.9501133786848073,-11.321869241259147,2584.165258217594,1424.7041896057879,1570.8559276691221,0.00021258172179261156,0.21132660257626654,3169.6875,338.80454277035307,0.010579427083333334,38,116,0.03028
library/real/wav/kick__real__0071.wav,kick,real,0071,7.777777777777778,5.39786396293654e-06,0.0033063544866183897,0.7007705468897656,0.04810589459770756,0.0068652741747514305,0.24094653198719415,6.0824143358446054,13.833297663436564,2.653061224489796,0.031156462585034014,nan,nan,nan,nan,0.010113274141738699,0.008370005519126304,-32.043646189097956,-1.000151903819357,5.782312925170068,-14.83344956725592,2483.8135665338955,879.9575870825197,939.0873026345378,8.152434568500116e-05,0.07212393620625306,1098.193359375,168.91077468775092,0.0048828125,14,26,0.001377
library/real/wav/kick__real__0072.wav,kick,real,0072,11.587301587301587,0.004904445395647049,0.00666629593665307,0.7680490551003808,0.018275891363984983,0.001021347592952229,0.20108296461038191,-13.02108843593745,9.96031413798115,2.312925170068027,0.02743764172335601,nan,nan,nan,nan,0.015625882762429703,17.94032293198734,-28.113797705033875,-1.000151903819357,10.702947845804989,-10.960466041800508,2863.0004376165753,1748.1608746995637,2235.2857430658955,0.0004532198767915052,0.2780271177146335,4437.1856689453125,452.1733932314365,0.011077880859375,46,176,0.1411
library/real/wav/kick__real__0073.wav,kick,real,0073,15.736961451247165,0.0020221806662099615,0.027116833825377808,0.49400174624798654,0.028139806704649703,0.005825452296231841,0.44289398025954435,14.096051032474879,15.393093282353053,1.7913832199546487,0.02873015873015873,nan,nan,nan,nan,0.009405093010781577,1.0122054205231379,-29.609701283088988,-0.9998544876801003,14.807256235827664,-16.392947770033153,4442.600470196349,2803.804595080791,1261.2151790699634,0.0015480856107840564,0.09374505944596313,7389.9261474609375,233.53821140757222,0.0081787109375,24,60,0.1218
library/real/wav/kick__real__0074.wav,kick,real,0074,10.634920634920634,0.004706864940927974,0.01337673153092664,0.9143413694174896,0.03445953660131429,0.002182773833577267,0.030932723675764287,-10.572350020091779,13.354131633186896,2.290249433106576,0.025963718820861677,nan,nan,nan,nan,0.015994688164187754,13.940190217364977,-29.267121081818424,-0.9998544876801003,9.81859410430839,-14.353986120866995,2561.9490120112328,1265.4459958889481,1884.6939038013743,0.0002640779398960165,0.18396305294188145,2488.28125,579.5350502490919,0.009521484375,30,172,0.09056
library/real/wav/kick__real__0075.wav,kick,real,0075,10.022675736961451,0.015277842390287708,0.01387371815823566,0.8861585463005339,0.02893765092716689,0.010249799518516562,0.04550244270525917,-10.66820584322398,11.763632193997722,3.650793650793651,0.03437641723356009,nan,nan,nan,nan,0.02330274962455045,25.130157771081656,-26.541709957294568,-0.9998544876801003,1.4739229024943312,-12.763486681677822,3823.152010158245,2875.5968081036735,4065.488533382836,0.000926442338293543,0.46825046076955296,6957.53173828125,961.3610969296132,0.027849469866071428,30,234,0.3469
library/real/wav/kick__real__0076.wav,kick,real,0076,16.16780045351474,0.0017147376024444355,0.003475428793637932,0.74248018389325,0.01688632844596293,0.0010264018417417684,0.23441691942296292,-5.254028980378499,9.323819875154168,3.401360544217687,0.03689342403628118,nan,nan,nan,nan,0.013547423544723951,70.32510388208134,-29.5637370049665,-0.9998544876801003,10.249433106575964,-10.323674362834268,2315.5116508572214,960.6560191000236,1617.5359861926327,0.00015724068219346045,0.5627238606564319,1366.162109375,815.9009848370385,0.007233796296296296,14,200,0.4876
library/real/wav/kick__real__0077.wav,kick,real,0077,16.55328798185941,0.01896998516919955,0.020726624229413196,0.8205440527196527,0.07790374949409619,0.002559254116756448,0.05929633427088197,-22.944621926396913,12.032661131182262,1.7233560090702948,0.02979591836734694,39.16971338574897,42.7148753334411,nan,nan,0.02086464330759387,5.48046165924057,-25.853553162141594,-1.000151903819357,3.7868480725623583,-13.032813035001618,3541.135679097498,2424.997020899025,3677.117152972834,0.0018610854709452754,0.29402852669480867,5583.899568256579,664.9727333562315,0.02084189967105263,36,188,0.33
library/real/wav/kick__real__0078.wav,kick,real,0078,4.535147392290249,0.003103638790935464,0.014313237249041707,0.1330102931220658,0.07427527263567031,0.005584148302499531,0.7697134098997872,-16.620339411487425,9.982160144217605,1.6326530612244898,0.04691609977324263,38.49680115462773,37.18545878265087,38.94411243745891,nan,0.012732199225737909,6.946021339414876,-25.62306696499593,-1.000151903819357,4.308390022675737,-10.982312048036961,2109.7915332636067,1075.2153119652946,1816.8111477036043,0.00020779895741699443,0.2709176231468814,2215.386603860294,720.39105494617,0.005428538602941176,32,192,0.6327
