file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:002-inquieto-inquieto-5am-en-el-bella@55.705,hook,corpus,55.705,16.70476,2552.98553,2681.77617,-11.70743,0.04249,0.2215,0.25499,0.28097,0.18319,0.01686,104.0,104.0,0.35506,0.776
corpus:002-inquieto-inquieto-5am-en-el-bella@57.876,hook,corpus,57.876,18.54781,3095.29394,3095.29394,-2.16569,0.03033,0.04106,0.0457,0.34629,0.52537,0.01125,68.0,92.0,0.26818,0.757
corpus:002-inquieto-inquieto-5am-en-el-bella@41.215,hook,corpus,41.215,19.26143,2649.68967,3333.11869,-3.24135,0.0322,0.13293,0.06836,0.21158,0.51677,0.03815,92.0,272.0,0.29905,0.745
corpus:002-inquieto-inquieto-5am-en-el-bella@32.566,kick,corpus,32.566,6.8078,916.23411,916.23411,-24.69064,0.12526,0.58995,0.27938,0.00461,0.00065,0.00015,92.0,92.0,0.35706,0.741
corpus:002-inquieto-inquieto-5am-en-el-bella@57.551,hook,corpus,57.551,22.96455,2420.88223,2385.0985,2.45029,0.01692,0.02205,0.17824,0.44987,0.32834,0.00456,24.0,128.0,0.21962,0.734
corpus:002-inquieto-inquieto-5am-en-el-bella@27.051,hook,corpus,27.051,14.88403,3388.0129,3388.0129,-0.77165,9e-05,0.00084,0.0248,0.54072,0.38418,0.04937,92.0,92.0,0.24729,0.721
corpus:002-inquieto-inquieto-5am-en-el-bella@27.458,kick,corpus,27.458,7.6286,797.05271,544.2985,6.54475,0.2129,0.54713,0.23359,0.0052,0.00113,5e-05,30.0,104.0,0.36779,0.687
corpus:002-inquieto-inquieto-5am-en-el-bella@46.092,kick,corpus,46.092,8.88683,1501.08793,1928.02489,-5.21915,0.42559,0.51602,0.02851,0.00995,0.01932,0.00062,124.0,220.0,0.80785,0.637
corpus:002-inquieto-inquieto-5am-en-el-bella@22.477,kick,corpus,22.477,8.33441,1238.39768,1486.64149,-1.01786,0.32662,0.64251,0.02507,0.00286,0.00253,0.00041,22.0,196.0,0.70119,0.634
corpus:002-inquieto-inquieto-5am-en-el-bella@32.357,kick,corpus,32.357,7.42469,837.93092,816.56781,-5.49462,0.09012,0.44939,0.45532,0.00392,0.00118,7e-05,104.0,104.0,0.51086,0.625
corpus:002-inquieto-inquieto-5am-en-el-bella@4.447,kick,corpus,4.447,9.01535,574.96,986.441,-4.05447,0.13154,0.53434,0.3288,0.00397,0.0013,5e-05,186.0,186.0,0.57966,0.619
corpus:002-inquieto-inquieto-5am-en-el-bella@45.476,kick,corpus,45.476,9.14471,593.75028,1344.07835,-5.34337,0.21456,0.5906,0.19038,0.00208,0.00224,0.00015,54.0,278.0,0.71879,0.615
corpus:002-inquieto-inquieto-5am-en-el-bella@27.562,kick,corpus,27.562,11.2227,317.81841,837.64795,-0.63478,0.23955,0.59253,0.16499,0.00248,0.00042,2e-05,62.0,400.0,0.62984,0.612
corpus:002-inquieto-inquieto-5am-en-el-bella@4.853,kick,corpus,4.853,9.14372,613.43414,1059.11508,-6.96106,0.12115,0.51596,0.35325,0.00774,0.00185,5e-05,158.0,196.0,0.66195,0.602
corpus:005-va-bassinlove-cant-stand-it@54.683,hook,corpus,54.683,20.46566,2815.3506,4064.9456,-6.82685,0.00787,0.1337,0.01789,0.5103,0.19893,0.13131,90.0,400.0,0.2318,0.877
corpus:005-va-bassinlove-cant-stand-it@39.509,hook,corpus,39.509,12.08134,2393.94087,2393.94087,-8.8891,0.00159,0.00099,0.00728,0.55449,0.43312,0.00254,68.0,68.0,0.20467,0.844
corpus:005-va-bassinlove-cant-stand-it@17.183,space,corpus,17.183,8.61751,4387.81913,3654.50264,16.67147,0.13891,0.63596,0.14865,0.03271,0.01123,0.03253,96.0,174.0,0.67722,0.835
