file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:055-user23564112514-untitled-5-1@29.942,kick,corpus,29.942,10.79082,2377.87735,2705.676,-19.97304,0.39681,0.43509,0.03993,0.07814,0.04142,0.00861,104.0,104.0,0.50149,0.798
corpus:055-user23564112514-untitled-5-1@52.303,space,corpus,52.303,14.8192,3715.21679,3479.92277,13.54981,0.00398,0.27618,0.05412,0.07648,0.48734,0.1019,62.0,128.0,0.86237,0.69
corpus:055-user23564112514-untitled-5-1@51.119,space,corpus,51.119,14.0706,3648.15946,3572.81613,24.04412,0.00739,0.27288,0.04485,0.03898,0.53142,0.10448,52.0,104.0,0.35771,0.649
corpus:055-user23564112514-untitled-5-1@17.043,space,corpus,17.043,13.17193,3435.00841,2483.8413,7.58216,0.20763,0.4432,0.1497,0.06674,0.10373,0.02901,24.0,384.0,0.76576,0.638
corpus:056-user08200140031-untitled-1-1@60.291,space,corpus,60.291,10.85263,4454.45056,4454.45056,35.92639,0.32386,0.35261,0.00666,0.01496,0.13586,0.16605,92.0,92.0,0.25865,0.937
corpus:056-user08200140031-untitled-1-1@61.858,space,corpus,61.858,9.26435,3801.43719,3361.66248,35.26258,0.3193,0.51603,0.01068,0.00772,0.06551,0.08075,128.0,128.0,0.34646,0.919
corpus:056-user08200140031-untitled-1-1@45.894,space,corpus,45.894,10.72197,4540.61366,4540.61366,30.82417,0.32943,0.33849,0.00762,0.01763,0.13431,0.17253,92.0,92.0,0.2893,0.908
corpus:056-user08200140031-untitled-1-1@44.28,space,corpus,44.28,10.5116,4152.27439,3967.01179,29.70718,0.32583,0.4351,0.00971,0.0162,0.09941,0.11375,116.0,116.0,0.33042,0.893
corpus:056-user08200140031-untitled-1-1@6.014,hook,corpus,6.014,16.73525,4522.49628,4522.49628,-4.02889,0.02469,0.25035,0.10725,0.20846,0.16633,0.24292,62.0,92.0,0.12255,0.85
corpus:056-user08200140031-untitled-1-1@18.808,hook,corpus,18.808,18.39236,4083.40139,4083.40139,-12.78561,0.01741,0.28727,0.12301,0.19228,0.17457,0.20545,28.0,92.0,0.1191,0.839
corpus:056-user08200140031-untitled-1-1@15.615,hook,corpus,15.615,17.39851,4061.11596,4061.11596,-11.25084,0.03261,0.26002,0.15555,0.18019,0.17204,0.19959,64.0,80.0,0.07125,0.836
corpus:056-user08200140031-untitled-1-1@34.807,hook,corpus,34.807,17.65405,3915.5934,3915.5934,-16.29759,0.02093,0.27461,0.15086,0.18731,0.1682,0.19809,46.0,92.0,0.071,0.834
corpus:056-user08200140031-untitled-1-1@22.013,hook,corpus,22.013,16.21487,4721.82305,4721.82305,1.60586,0.0471,0.23134,0.12412,0.1662,0.16182,0.26943,60.0,92.0,0.07696,0.831
corpus:056-user08200140031-untitled-1-1@25.205,hook,corpus,25.205,17.8578,4055.34585,4055.34585,-14.15774,0.02708,0.26538,0.16029,0.17834,0.16914,0.19977,68.0,92.0,0.08774,0.829
corpus:056-user08200140031-untitled-1-1@12.411,hook,corpus,12.411,18.0676,3974.62356,3974.62356,-13.59956,0.03989,0.29355,0.127,0.19022,0.15917,0.19018,54.0,92.0,0.1068,0.825
corpus:056-user08200140031-untitled-1-1@37.999,hook,corpus,37.999,17.77594,4120.43086,4260.6067,-10.91906,0.02699,0.3052,0.14685,0.17142,0.15172,0.19782,48.0,104.0,0.12882,0.824
corpus:056-user08200140031-untitled-1-1@47.903,kick,corpus,47.903,13.938,4092.19174,4092.19174,-16.18205,0.33411,0.33311,0.05622,0.01239,0.11121,0.15295,50.0,92.0,0.16573,0.673
corpus:056-user08200140031-untitled-1-1@27.109,kick,corpus,27.109,14.18667,4045.99251,4045.99251,-11.67274,0.31853,0.3504,0.05495,0.01328,0.11351,0.14934,54.0,92.0,0.18092,0.647
corpus:056-user08200140031-untitled-1-1@33.414,kick,corpus,33.414,10.38717,2543.45757,2543.45757,-35.29393,0.09309,0.58805,0.27825,0.00682,0.01546,0.01832,92.0,92.0,0.30844,0.64
corpus:056-user08200140031-untitled-1-1@61.092,kick,corpus,61.092,12.64762,4207.61802,4207.61802,-4.45854,0.32704,0.42395,0.01396,0.00784,0.09742,0.12979,66.0,92.0,0.18829,0.637
corpus:056-user08200140031-untitled-1-1@11.413,kick,corpus,11.413,9.04269,1841.95526,1841.95526,-24.79089,0.0711,0.59338,0.31492,0.00674,0.00651,0.00735,92.0,92.0,0.35106,0.633
corpus:056-user08200140031-untitled-1-1@27.4,kick,corpus,27.4,8.14566,1981.78764,1981.78764,-32.97035,0.06671,0.61229,0.29429,0.01063,0.00776,0.00832,92.0,92.0,0.42239,0.633
corpus:056-user08200140031-untitled-1-1@54.602,kick,corpus,54.602,7.59466,1938.77022,1938.77022,-26.47765,0.06686,0.61821,0.29061,0.00977,0.00626,0.0083,80.0,80.0,0.27919,0.623
corpus:056-user08200140031-untitled-1-1@3.111,kick,corpus,3.111,12.73051,4374.31599,4374.31599,-5.12629,0.31798,0.39538,0.03376,0.00705,0.10272,0.14312,50.0,92.0,0.15231,0.615
corpus:056-user08200140031-untitled-1-1@53.104,kick,corpus,53.104,13.9493,4221.86868,4221.86868,-20.89918,0.28146,0.40563,0.03031,0.02068,0.119,0.14293,80.0,80.0,0.15364,0.615
corpus:056-user08200140031-untitled-1-1@0.209,kick,corpus,0.209,9.11397,2156.12454,2156.12454,-26.10604,0.06872,0.63126,0.27346,0.01006,0.00786,0.00864,92.0,92.0,0.43376,0.612
corpus:056-user08200140031-untitled-1-1@7.906,kick,corpus,7.906,13.17562,3973.75771,4028.95453,0.62227,0.32839,0.36346,0.07627,0.00861,0.09655,0.12673,44.0,104.0,0.1746,0.608
corpus:056-user08200140031-untitled-1-1@14.315,kick,corpus,14.315,14.3577,4051.19201,4051.19201,-9.96457,0.29514,0.34924,0.08451,0.02322,0.10873,0.13915,48.0,92.0,0.10459,0.607
corpus:057-user34567443478-untitled-12-1@45.291,kick,corpus,45.291,7.74092,1999.14998,1999.14998,-53.62577,0.5099,0.35631,0.0779,0.03008,0.02102,0.0048,46.0,46.0,0.0,0.943
corpus:057-user34567443478-untitled-12-1@2.101,kick,corpus,2.101,7.25039,1764.54768,1764.54768,-23.93354,0.43236,0.47146,0.06982,0.01399,0.01025,0.00212,68.0,68.0,0.2958,0.916
corpus:057-user34567443478-untitled-12-1@9.288,kick,corpus,9.288,7.06127,1869.21646,1869.21646,-26.89162,0.42049,0.44487,0.09146,0.0163,0.02192,0.00496,80.0,80.0,0.38425,0.906
corpus:057-user34567443478-untitled-12-1@33.274,kick,corpus,33.274,7.60213,2407.73306,2407.73306,-31.58096,0.37688,0.42781,0.10238,0.04001,0.04393,0.009,68.0,68.0,0.27983,0.86
corpus:057-user34567443478-untitled-12-1@26.053,kick,corpus,26.053,6.40465,1473.92267,1473.92267,-6.67794,0.36924,0.49258,0.10806,0.02034,0.00804,0.00173,24.0,92.0,0.44361,0.843
corpus:057-user34567443478-untitled-12-1@21.281,kick,corpus,21.281,7.98921,2113.33669,2113.33669,-7.45036,0.36565,0.46218,0.11103,0.03025,0.02623,0.00465,80.0,80.0,0.42986,0.817
corpus:057-user34567443478-untitled-12-1@38.069,kick,corpus,38.069,8.80764,2127.24526,2127.24526,1.89634,0.39237,0.42351,0.11643,0.02533,0.03597,0.00638,52.0,92.0,0.43758,0.753
corpus:057-user34567443478-untitled-12-1@18.762,hook,corpus,18.762,11.1802,3002.24133,3626.43643,-9.49174,0.01258,0.01225,0.16555,0.22814,0.50047,0.08101,106.0,196.0,0.44492,0.749
corpus:057-user34567443478-untitled-12-1@19.958,hook,corpus,19.958,10.30297,3428.97212,3490.47879,-3.98231,0.01089,0.00593,0.11655,0.28798,0.51056,0.0681,116.0,116.0,0.38363,0.743
corpus:057-user34567443478-untitled-12-1@40.461,kick,corpus,40.461,7.65202,2436.7361,2403.62104,-7.583,0.33747,0.44349,0.11407,0.05469,0.04329,0.00699,104.0,104.0,0.53136,0.731
corpus:057-user34567443478-untitled-12-1@11.482,hook,corpus,11.482,12.68666,3993.82798,3993.82798,2.61348,0.01302,0.07125,0.09166,0.07186,0.59534,0.15688,80.0,80.0,0.13597,0.714
corpus:057-user34567443478-untitled-12-1@27.074,hook,corpus,27.074,11.24747,4246.97058,4246.97058,6.46021,0.01461,0.02251,0.08393,0.15083,0.6005,0.12763,80.0,80.0,0.10629,0.712
corpus:057-user34567443478-untitled-12-1@16.962,space,corpus,16.962,14.14049,3810.62319,3772.76084,7.50062,0.00548,0.04409,0.09448,0.05871,0.76083,0.03641,104.0,104.0,0.92347,0.692
corpus:057-user34567443478-untitled-12-1@15.755,space,corpus,15.755,13.11887,3762.39057,3644.99889,9.19301,0.00583,0.01265,0.04309,0.06438,0.78778,0.08628,128.0,128.0,0.92814,0.687
corpus:057-user34567443478-untitled-12-1@44.06,kick,corpus,44.06,6.34655,2161.74076,2161.74076,-7.43087,0.23916,0.43156,0.27253,0.04153,0.01116,0.00406,26.0,92.0,0.44219,0.687
corpus:057-user34567443478-untitled-12-1@42.469,kick,corpus,42.469,5.88029,2013.19133,2013.19133,-12.17798,0.2181,0.41364,0.2713,0.06844,0.02216,0.00637,80.0,80.0,0.42449,0.658
corpus:057-user34567443478-untitled-12-1@11.366,space,corpus,11.366,11.16432,3321.61466,3197.72669,22.23797,0.03089,0.09385,0.4419,0.06278,0.30948,0.06109,116.0,116.0,0.45401,0.657
corpus:057-user34567443478-untitled-12-1@39.277,kick,corpus,39.277,7.64547,1985.78765,1985.78765,-14.71689,0.19888,0.39994,0.30238,0.06686,0.02559,0.00635,80.0,80.0,0.36962,0.651
corpus:057-user34567443478-untitled-12-1@2.763,kick,corpus,2.763,8.16695,1848.00035,2559.21964,-15.01541,0.22734,0.54271,0.13936,0.0366,0.04414,0.00985,166.0,196.0,0.68993,0.638
corpus:057-user34567443478-untitled-12-1@13.955,hook,corpus,13.955,11.92663,2478.94283,2603.79731,-3.54379,0.05617,0.09946,0.42862,0.29593,0.11157,0.00825,138.0,138.0,0.56305,0.631
corpus:057-user34567443478-untitled-12-1@12.55,space,corpus,12.55,15.91062,3613.08212,3249.15018,6.32469,0.0114,0.02209,0.1425,0.07905,0.68367,0.06129,96.0,220.0,0.8845,0.63
corpus:058-user11000044425-segment-shuffler@32.461,kick,corpus,32.461,7.99962,2419.48964,2419.48964,-37.04332,0.45344,0.49541,0.02446,0.00038,0.00641,0.01991,18.0,68.0,0.04125,0.924
corpus:058-user11000044425-segment-shuffler@15.441,space,corpus,15.441,16.96111,3902.91729,3744.22251,41.32602,0.06744,0.31792,0.01991,0.00392,0.36878,0.22204,104.0,104.0,0.7164,0.922
corpus:058-user11000044425-segment-shuffler@25.507,space,corpus,25.507,15.89333,4149.47064,3898.44203,40.92788,0.08554,0.29002,0.04956,0.01008,0.32602,0.23877,104.0,104.0,0.89742,0.92
corpus:058-user11000044425-segment-shuffler@61.858,space,corpus,61.858,16.78375,4383.99001,4252.73271,32.29876,0.13365,0.16022,0.03807,0.01143,0.38506,0.27157,104.0,104.0,0.7977,0.915
corpus:058-user11000044425-segment-shuffler@43.41,kick,corpus,43.41,9.69519,2354.23673,2354.23673,-31.18427,0.43521,0.44113,0.0835,0.00179,0.01026,0.02811,66.0,80.0,0.22801,0.909
corpus:058-user11000044425-segment-shuffler@10.995,kick,corpus,10.995,10.22181,1981.34469,1981.34469,-32.89227,0.37987,0.5344,0.05439,0.00195,0.00885,0.02053,54.0,92.0,0.19069,0.896
corpus:058-user11000044425-segment-shuffler@28.584,space,corpus,28.584,16.4444,4605.50917,4605.50917,28.8989,0.07839,0.26387,0.01428,0.003,0.36832,0.27214,92.0,92.0,0.6089,0.893
corpus:058-user11000044425-segment-shuffler@32.891,kick,corpus,32.891,10.07428,2289.36895,2289.36895,-22.87416,0.39762,0.53862,0.03687,0.0013,0.0062,0.0194,60.0,80.0,0.11438,0.892
corpus:058-user11000044425-segment-shuffler@3.111,kick,corpus,3.111,10.05472,2157.85379,2157.85379,-26.38304,0.37086,0.57788,0.02952,0.00132,0.00579,0.01464,32.0,80.0,0.05585,0.886
corpus:058-user11000044425-segment-shuffler@32.009,kick,corpus,32.009,9.46251,2189.89956,2189.89956,-25.23651,0.37005,0.58414,0.02699,0.00149,0.00488,0.01245,12.0,80.0,0.12845,0.885
corpus:058-user11000044425-segment-shuffler@14.06,kick,corpus,14.06,9.40358,1937.15303,1937.15303,-15.5077,0.38358,0.55953,0.03471,0.00069,0.00646,0.01503,56.0,92.0,0.08005,0.884
corpus:058-user11000044425-segment-shuffler@9.242,kick,corpus,9.242,8.97683,2470.366,2470.366,-10.02482,0.4135,0.48175,0.07578,0.00156,0.0069,0.0205,36.0,68.0,0.1547,0.879
corpus:058-user11000044425-segment-shuffler@0.046,kick,corpus,0.046,8.74392,2296.90187,2296.90187,-32.73037,0.34495,0.57808,0.05373,0.00264,0.00563,0.01496,28.0,68.0,0.10873,0.876
corpus:058-user11000044425-segment-shuffler@35.956,kick,corpus,35.956,11.50632,2249.87124,2249.87124,-23.50372,0.36433,0.58106,0.02874,0.0023,0.00654,0.01703,34.0,92.0,0.11951,0.875
corpus:058-user11000044425-segment-shuffler@31.579,kick,corpus,31.579,7.63347,2554.67164,2554.67164,-19.183,0.37353,0.5676,0.03594,0.00186,0.00596,0.0151,60.0,68.0,0.08842,0.872
corpus:058-user11000044425-segment-shuffler@45.592,kick,corpus,45.592,10.29895,2038.85653,2038.85653,-16.7005,0.36192,0.57903,0.03517,0.00048,0.0058,0.0176,52.0,92.0,0.08315,0.87
corpus:058-user11000044425-segment-shuffler@25.995,hook,corpus,25.995,17.46462,5260.61304,5260.61304,-4.16526,0.041,0.13675,0.02025,0.00724,0.46921,0.32554,80.0,80.0,0.10323,0.746
corpus:058-user11000044425-segment-shuffler@26.97,hook,corpus,26.97,11.70573,2856.65166,2856.65166,-11.49503,0.04582,0.49317,0.22415,0.18775,0.03311,0.01601,58.0,58.0,0.12828,0.737
corpus:058-user11000044425-segment-shuffler@61.022,hook,corpus,61.022,15.99828,5021.53656,5021.53656,-4.09383,0.06725,0.1947,0.03269,0.02153,0.41135,0.27248,58.0,58.0,0.05354,0.729
corpus:058-user11000044425-segment-shuffler@46.568,hook,corpus,46.568,17.5622,4688.34536,4745.4708,-9.15338,0.05395,0.14396,0.09172,0.00905,0.41762,0.28369,66.0,116.0,0.20441,0.688
corpus:058-user11000044425-segment-shuffler@50.074,hook,corpus,50.074,18.74267,5285.01111,5248.39269,-0.68923,0.0801,0.04171,0.07697,0.00721,0.44548,0.34853,100.0,116.0,0.22459,0.68
corpus:058-user11000044425-segment-shuffler@60.581,hook,corpus,60.581,15.21779,4940.29178,4940.29178,-0.47705,0.06122,0.2969,0.0768,0.0064,0.3158,0.24288,80.0,80.0,0.17868,0.659
corpus:058-user11000044425-segment-shuffler@13.282,hook,corpus,13.282,17.17344,4942.24287,4974.35245,-4.95984,0.05142,0.16021,0.06517,0.00641,0.41787,0.29891,116.0,116.0,0.3133,0.658
corpus:058-user11000044425-segment-shuffler@29.489,hook,corpus,29.489,15.647,5049.828,5124.08314,-3.92002,0.08332,0.26839,0.02828,0.01087,0.36456,0.24459,104.0,104.0,0.17811,0.656
corpus:060-user55864367882-darkness@10.96,kick,corpus,10.96,8.83236,3030.54579,3763.58783,-12.24908,0.41491,0.50925,0.02183,0.00159,0.018,0.03441,94.0,208.0,0.51244,0.778
corpus:060-user55864367882-darkness@36.734,kick,corpus,36.734,8.32361,3147.61004,3849.87215,-12.97399,0.40224,0.51317,0.02949,0.00335,0.0177,0.03405,94.0,196.0,0.50498,0.772
corpus:060-user55864367882-darkness@3.402,kick,corpus,3.402,8.84413,3305.11731,3920.31683,-10.50747,0.41969,0.49682,0.02114,0.00419,0.02083,0.03734,128.0,208.0,0.48637,0.76
corpus:060-user55864367882-darkness@16.289,kick,corpus,16.289,8.95399,2955.20204,3856.2972,-12.3835,0.39792,0.52123,0.02596,0.00332,0.01853,0.03304,104.0,220.0,0.51111,0.757
corpus:060-user55864367882-darkness@39.404,kick,corpus,39.404,8.79717,3096.30194,3705.12137,-9.67447,0.41322,0.50762,0.02373,0.00308,0.01732,0.03502,94.0,208.0,0.50899,0.757
corpus:060-user55864367882-darkness@31.393,kick,corpus,31.393,8.3201,2925.11663,3566.81671,-9.72236,0.41871,0.50627,0.02218,0.00245,0.01811,0.03227,94.0,208.0,0.56002,0.756
corpus:060-user55864367882-darkness@45.174,kick,corpus,45.174,8.16973,3145.40372,3609.64167,-7.06574,0.43918,0.48869,0.01563,0.00234,0.02101,0.03314,94.0,186.0,0.52104,0.756
corpus:060-user55864367882-darkness@46.51,kick,corpus,46.51,8.59136,3219.66036,3871.02819,-10.63187,0.41064,0.51003,0.02438,0.00239,0.01892,0.03364,128.0,208.0,0.5215,0.751
corpus:060-user55864367882-darkness@48.298,kick,corpus,48.298,8.89143,3367.82097,4005.06147,-11.37263,0.3849,0.52416,0.02805,0.00309,0.02232,0.03748,132.0,196.0,0.44916,0.749
corpus:060-user55864367882-darkness@2.949,kick,corpus,2.949,8.15802,2980.88722,3591.42905,-9.07538,0.41757,0.50703,0.02361,0.0016,0.01813,0.03205,94.0,208.0,0.56376,0.745
corpus:060-user55864367882-darkness@15.848,kick,corpus,15.848,9.28566,3242.04048,3875.67659,-9.77659,0.41686,0.50343,0.01664,0.00256,0.02345,0.03706,94.0,220.0,0.50916,0.745
corpus:060-user55864367882-darkness@18.959,kick,corpus,18.959,8.8336,3333.917,3841.19157,-8.42604,0.41955,0.49451,0.02628,0.00224,0.02057,0.03685,126.0,196.0,0.49913,0.745
corpus:060-user55864367882-darkness@58.294,hook,corpus,58.294,13.19074,3208.33112,3662.1798,-8.32553,0.00318,0.05881,0.01539,0.5681,0.27943,0.07508,94.0,186.0,0.52149,0.711
corpus:060-user55864367882-darkness@57.4,hook,corpus,57.4,13.16882,3216.55945,3654.88918,-7.95345,0.00732,0.0925,0.01917,0.54777,0.25354,0.07969,94.0,186.0,0.53568,0.707
corpus:060-user55864367882-darkness@63.623,hook,corpus,63.623,13.35938,3240.30958,3791.31663,-8.96264,0.00355,0.05546,0.03427,0.55487,0.27537,0.07648,100.0,142.0,0.53235,0.698
corpus:060-user55864367882-darkness@56.506,hook,corpus,56.506,13.91248,3163.92163,3614.74398,-5.20129,0.00223,0.08736,0.03938,0.54706,0.23892,0.08506,68.0,208.0,0.61072,0.627
corpus:060-user55864367882-darkness@61.846,hook,corpus,61.846,12.77211,3431.0448,3642.56324,-2.49869,0.00287,0.07747,0.02285,0.56757,0.26058,0.06866,92.0,186.0,0.51113,0.617
corpus:061-user54875487546-expander@26.006,kick,corpus,26.006,4.78568,786.77481,1119.35888,-17.86714,0.57441,0.40731,0.01554,0.00233,0.00031,9e-05,104.0,104.0,0.51566,0.951
corpus:061-user54875487546-expander@23.382,kick,corpus,23.382,8.17574,1164.89409,1934.53517,-7.85602,0.58631,0.40648,0.00405,0.0008,0.00147,0.00089,134.0,244.0,0.50777,0.91
corpus:061-user54875487546-expander@20.236,kick,corpus,20.236,11.74165,630.29887,848.33885,-4.25046,0.59526,0.38249,0.00355,0.01472,0.00358,0.00041,164.0,208.0,0.53382,0.896
corpus:061-user54875487546-expander@30.604,kick,corpus,30.604,8.19302,1253.95323,1934.17717,-7.17195,0.58568,0.40646,0.00465,0.00047,0.00164,0.0011,74.0,208.0,0.55798,0.896
corpus:061-user54875487546-expander@22.489,kick,corpus,22.489,7.77275,1098.64638,1449.41203,-3.08229,0.59805,0.39386,0.00528,0.00188,0.00058,0.00034,56.0,196.0,0.50783,0.895
corpus:061-user54875487546-expander@31.974,kick,corpus,31.974,6.59944,876.6813,1032.22491,-2.75742,0.59052,0.40376,0.00447,0.00076,0.00032,0.00016,174.0,174.0,0.52926,0.891
corpus:061-user54875487546-expander@34.226,kick,corpus,34.226,7.57101,1429.58181,2108.89519,-6.98127,0.55657,0.42879,0.00957,0.00265,0.00152,0.0009,134.0,196.0,0.5349,0.889
corpus:061-user54875487546-expander@26.111,kick,corpus,26.111,8.21396,1219.81858,1243.83836,0.22944,0.60569,0.38772,0.0043,0.0005,0.00144,0.00034,104.0,208.0,0.47291,0.886
corpus:061-user54875487546-expander@27.016,kick,corpus,27.016,6.76037,1284.88757,1777.81801,-5.01313,0.56591,0.42298,0.00775,0.00172,0.00112,0.00052,174.0,196.0,0.53816,0.885
corpus:061-user54875487546-expander@25.658,kick,corpus,25.658,9.7623,1064.5645,1195.47619,-0.70475,0.57849,0.40596,0.00864,0.00355,0.00282,0.00054,104.0,232.0,0.47926,0.883
corpus:061-user54875487546-expander@9.183,hook,corpus,9.183,20.37028,1911.4177,2189.86002,-2.77312,0.0862,0.11967,0.19965,0.56489,0.01202,0.01757,28.0,186.0,0.11606,0.874
corpus:061-user54875487546-expander@5.573,hook,corpus,5.573,21.17084,1943.66343,2265.54732,-5.50323,0.03384,0.07734,0.19137,0.66149,0.01464,0.02133,18.0,104.0,0.06829,0.869
corpus:061-user54875487546-expander@29.269,kick,corpus,29.269,8.16829,1141.7228,1037.20037,-0.06962,0.58242,0.40394,0.00402,0.00569,0.0035,0.00044,124.0,232.0,0.50821,0.867
corpus:061-user54875487546-expander@28.363,kick,corpus,28.363,6.61245,1181.91754,1311.32043,0.43147,0.56728,0.42345,0.00639,0.00212,0.00049,0.00026,114.0,174.0,0.50139,0.863
corpus:061-user54875487546-expander@11.006,hook,corpus,11.006,21.444,1734.11771,2109.97871,-3.9546,0.01445,0.04896,0.22233,0.68698,0.00939,0.0179,18.0,140.0,0.05386,0.858
corpus:061-user54875487546-expander@6.478,hook,corpus,6.478,24.51117,1316.8314,2252.45773,-2.46922,0.01722,0.05596,0.21694,0.67689,0.01337,0.01962,18.0,124.0,0.08495,0.825
corpus:061-user54875487546-expander@11.889,hook,corpus,11.889,23.76625,1777.11793,2301.84911,-3.03092,0.01569,0.0554,0.21018,0.68524,0.01382,0.01967,18.0,126.0,0.09744,0.823
corpus:061-user54875487546-expander@5.143,hook,corpus,5.143,24.36007,1627.3382,1929.6111,0.15173,0.02212,0.07409,0.27997,0.59953,0.0112,0.01309,24.0,126.0,0.08066,0.822
corpus:061-user54875487546-expander@2.426,hook,corpus,2.426,24.08845,1520.71677,2074.88669,-0.26866,0.02913,0.06469,0.21745,0.65968,0.01046,0.01859,36.0,184.0,0.10737,0.82
corpus:061-user54875487546-expander@6.037,hook,corpus,6.037,24.25341,1634.53817,2050.53779,0.03624,0.02722,0.06499,0.22427,0.65465,0.01012,0.01877,18.0,184.0,0.10571,0.818
corpus:061-user54875487546-expander@8.684,clap,corpus,8.684,24.42373,2605.02479,2167.291,5.08316,0.00867,0.05336,0.21632,0.68809,0.01201,0.02154,24.0,124.0,0.99943,0.813
corpus:061-user54875487546-expander@17.705,clap,corpus,17.705,24.73539,2509.59361,2933.74548,0.66994,0.01487,0.04839,0.2657,0.6354,0.01221,0.02343,36.0,154.0,0.99988,0.711
corpus:061-user54875487546-expander@1.463,clap,corpus,1.463,24.26062,1931.06812,2654.72325,-3.15912,0.01232,0.05101,0.2115,0.69394,0.01147,0.01976,18.0,100.0,0.99988,0.71
corpus:061-user54875487546-expander@3.738,clap,corpus,3.738,24.26566,1752.79116,2382.21568,-1.82407,0.01695,0.05635,0.2079,0.68753,0.01155,0.01972,18.0,124.0,0.99303,0.703
corpus:061-user54875487546-expander@10.484,clap,corpus,10.484,24.73686,2415.55034,2559.09877,2.04962,0.01479,0.05974,0.25329,0.63658,0.01243,0.02317,18.0,198.0,0.9997,0.702
corpus:061-user54875487546-expander@8.243,clap,corpus,8.243,23.64853,1994.69398,2385.21724,-2.60939,0.01512,0.06109,0.20983,0.68161,0.01237,0.01999,24.0,116.0,0.99983,0.692
corpus:061-user54875487546-expander@1.927,clap,corpus,1.927,23.31913,2260.50351,2460.57318,-3.41219,0.01651,0.04446,0.20713,0.69556,0.01417,0.02217,24.0,104.0,0.99964,0.69
corpus:061-user54875487546-expander@0.128,clap,corpus,0.128,24.43723,1958.75954,2570.67882,-2.38956,0.01501,0.05519,0.22094,0.67705,0.01267,0.01914,18.0,142.0,0.99967,0.686
corpus:062-user88800903441-barada@19.447,kick,corpus,19.447,6.32229,927.18054,927.18054,-17.46023,0.77088,0.20647,0.01765,0.00459,0.00032,9e-05,80.0,80.0,0.31853,0.983
corpus:062-user88800903441-barada@15.952,kick,corpus,15.952,6.50618,1049.04426,1049.04426,-2.49466,0.76617,0.21293,0.0164,0.00413,0.00029,9e-05,92.0,92.0,0.43498,0.944
corpus:062-user88800903441-barada@52.071,kick,corpus,52.071,11.9734,2976.6756,3150.08394,-19.11983,0.71782,0.14964,0.05477,0.03231,0.0242,0.02125,60.0,116.0,0.50959,0.944
corpus:062-user88800903441-barada@22.953,kick,corpus,22.953,6.20758,1125.56254,1125.56254,5.49021,0.76746,0.21033,0.017,0.00469,0.0004,0.00012,92.0,92.0,0.38608,0.908
corpus:062-user88800903441-barada@4.644,space,corpus,4.644,9.93379,4634.02627,4650.99856,26.56304,0.55234,0.19033,0.01344,0.00157,0.05536,0.18696,104.0,104.0,0.5749,0.901
corpus:062-user88800903441-barada@50.991,kick,corpus,50.991,6.60886,692.32956,692.32956,5.36735,0.7846,0.20083,0.01197,0.00243,0.00015,3e-05,92.0,92.0,0.42508,0.894
corpus:062-user88800903441-barada@14.745,kick,corpus,14.745,12.72188,3493.67649,4590.92707,-18.27865,0.6278,0.19385,0.01146,0.00199,0.03918,0.12573,50.0,196.0,0.39409,0.867
corpus:062-user88800903441-barada@54.486,kick,corpus,54.486,6.646,1038.49891,800.94631,7.00958,0.75554,0.21638,0.02398,0.00365,0.00034,0.0001,104.0,104.0,0.43603,0.865
corpus:062-user88800903441-barada@62.485,kick,corpus,62.485,13.28392,3712.2846,4780.7588,-19.06645,0.61143,0.20954,0.00984,0.00289,0.04208,0.12422,68.0,208.0,0.37117,0.854
corpus:062-user88800903441-barada@13.433,kick,corpus,13.433,13.01839,3499.52813,4655.33155,-17.72968,0.61373,0.19878,0.01253,0.00178,0.04059,0.1326,60.0,208.0,0.38353,0.853
corpus:062-user88800903441-barada@7.732,kick,corpus,7.732,12.9186,3470.0902,4604.76125,-15.5684,0.62206,0.20593,0.01258,0.0026,0.03799,0.11885,62.0,208.0,0.46734,0.846
corpus:062-user88800903441-barada@16.939,kick,corpus,16.939,13.21825,3708.52638,4763.47236,-18.74496,0.60533,0.20479,0.01319,0.0029,0.0443,0.12949,72.0,208.0,0.38713,0.846
corpus:062-user88800903441-barada@20.445,kick,corpus,20.445,13.45036,3964.59563,4720.90721,-17.75769,0.5979,0.20822,0.01023,0.00161,0.04691,0.13515,68.0,196.0,0.36137,0.846
corpus:062-user88800903441-barada@51.943,space,corpus,51.943,11.22169,4128.59571,4209.14503,14.83168,0.59604,0.21573,0.00386,0.00071,0.04499,0.13867,72.0,128.0,0.68749,0.709
corpus:062-user88800903441-barada@3.773,space,corpus,3.773,10.80804,4318.67137,4444.81899,14.58423,0.5554,0.18965,0.00366,0.00163,0.05713,0.19254,116.0,116.0,0.53654,0.669
corpus:062-user88800903441-barada@53.824,hook,corpus,53.824,14.07791,4242.25916,4242.25916,-3.68555,0.22759,0.27551,0.08728,0.17772,0.13865,0.09325,68.0,68.0,0.06045,0.65
corpus:062-user88800903441-barada@18.889,space,corpus,18.889,11.91763,3176.1702,2129.25698,12.33353,0.37116,0.42746,0.10015,0.01377,0.02618,0.06129,108.0,400.0,0.78471,0.612
